status	old_path	new_path	additions	deletions	section
A		docs/01-app/03-api-reference/05-config/01-next-config-js/expireTime.mdx	21	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/exportPathMap.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/exportPathMap.mdx	6	13	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/generateBuildId.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/generateBuildId.mdx	0	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/generateEtags.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/generateEtags.mdx	0	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/headers.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/headers.mdx	61	11	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/htmlLimitedBots.mdx	75	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/httpAgentOptions.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/httpAgentOptions.mdx	0	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/images.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/images.mdx	32	3	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/incrementalCacheHandlerPath.mdx	78	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/index.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/index.mdx	30	2	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/inlineCss.mdx	66	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/isolatedDevBuild.mdx	44	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/logging.mdx	71	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/mdxRs.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/mdxRs.mdx	2	3	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/onDemandEntries.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/onDemandEntries.mdx	0	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/optimizePackageImports.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/optimizePackageImports.mdx	3	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/output.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/output.mdx	80	45	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/pageExtensions.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/pageExtensions.mdx	3	3	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/poweredByHeader.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/poweredByHeader.mdx	0	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/productionBrowserSourceMaps.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/productionBrowserSourceMaps.mdx	0	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/proxyClientMaxBodySize.mdx	118	0	app/api-reference
