status,old_path,new_path,normalized_path,ko_path,action,priority,additions,deletions,section
A,,docs/01-app/03-api-reference/03-file-conventions/page.mdx,app/api-reference/file-conventions/page,pages/docs/app/api-reference/file-conventions/page.mdx,UPDATE_REQUIRED,P0,239,0,app/api-reference
R,docs/02-app/01-building-your-application/01-routing/11-parallel-routes.mdx,docs/01-app/03-api-reference/03-file-conventions/parallel-routes.mdx,app/api-reference/file-conventions/parallel-routes,,REMOVE_OR_REDIRECT,P0,34,32,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/proxy.mdx,app/api-reference/file-conventions/proxy,,NEW_TRANSLATION,P0,744,0,app/api-reference
R,docs/02-app/01-building-your-application/06-optimizing/11-static-assets.mdx,docs/01-app/03-api-reference/03-file-conventions/public-folder.mdx,app/api-reference/file-conventions/public-folder,,REMOVE_OR_REDIRECT,P0,2,7,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/route-groups.mdx,app/api-reference/file-conventions/route-groups,,NEW_TRANSLATION,P0,32,0,app/api-reference
R,docs/02-app/02-api-reference/02-file-conventions/route-segment-config.mdx,docs/01-app/03-api-reference/03-file-conventions/route-segment-config.mdx,app/api-reference/file-conventions/route-segment-config,pages/docs/app/api-reference/file-conventions/route-segment-config.mdx,UPDATE_REQUIRED,P0,35,41,app/api-reference
R,docs/02-app/01-building-your-application/01-routing/13-route-handlers.mdx,docs/01-app/03-api-reference/03-file-conventions/route.mdx,app/api-reference/file-conventions/route,pages/docs/app/api-reference/file-conventions/route.mdx,UPDATE_REQUIRED,P0,180,125,app/api-reference
R,docs/02-app/01-building-your-application/07-configuring/06-src-directory.mdx,docs/01-app/03-api-reference/03-file-conventions/src-folder.mdx,app/api-reference/file-conventions/src-folder,,REMOVE_OR_REDIRECT,P0,9,8,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/template.mdx,app/api-reference/file-conventions/template,pages/docs/app/api-reference/file-conventions/template.mdx,UPDATE_REQUIRED,P0,160,0,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/unauthorized.mdx,app/api-reference/file-conventions/unauthorized,,NEW_TRANSLATION,P0,114,0,app/api-reference
A,,docs/01-app/03-api-reference/04-functions/after.mdx,app/api-reference/functions/after,,NEW_TRANSLATION,P0,183,0,app/api-reference
A,,docs/01-app/03-api-reference/04-functions/cacheLife.mdx,app/api-reference/functions/cacheLife,,NEW_TRANSLATION,P0,481,0,app/api-reference
A,,docs/01-app/03-api-reference/04-functions/cacheTag.mdx,app/api-reference/functions/cacheTag,,NEW_TRANSLATION,P0,199,0,app/api-reference
A,,docs/01-app/03-api-reference/04-functions/connection.mdx,app/api-reference/functions/connection,,NEW_TRANSLATION,P0,58,0,app/api-reference
A,,docs/01-app/03-api-reference/04-functions/cookies.mdx,app/api-reference/functions/cookies,pages/docs/app/api-reference/functions/cookies.mdx,UPDATE_REQUIRED,P0,301,0,app/api-reference
A,,docs/01-app/03-api-reference/04-functions/draft-mode.mdx,app/api-reference/functions/draft-mode,pages/docs/app/api-reference/functions/draft-mode.mdx,UPDATE_REQUIRED,P0,137,0,app/api-reference
A,,docs/01-app/03-api-reference/04-functions/fetch.mdx,app/api-reference/functions/fetch,pages/docs/app/api-reference/functions/fetch.mdx,UPDATE_REQUIRED,P0,104,0,app/api-reference
A,,docs/01-app/03-api-reference/04-functions/forbidden.mdx,app/api-reference/functions/forbidden,pages/docs/app/api-reference/functions/forbidden.mdx,UPDATE_REQUIRED,P0,172,0,app/api-reference
